Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
C23LL	26953.3383	31657.5634	-9.1939	26953.338	31657.563	-9.1931	-0.3	-0.4	0.8	-0.5	0.2	0.8
C24LL	26956.096	31658.1101	-9.1749	26956.096	31658.1102	-9.1741	0.0	0.1	0.8	0.1	0.0	0.8
C25LL	26958.9872	31658.688	-9.1906	26958.9871	31658.688	-9.1907	-0.1	0.0	-0.1	0.0	0.1	-0.1
C26LL	26961.8871	31659.2654	-9.1584	26961.8873	31659.2656	-9.1583	0.2	0.2	0.1	-0.2	0.2	0.1
C27LL	26964.8456	31659.8629	-9.2104	26964.8456	31659.8634	-9.2098	0.0	0.5	0.6	-0.5	0.1	0.6
C28LL	26966.7607	31660.2561	-9.1618	26966.7606	31660.2561	-9.161	-0.1	0.0	0.8	0.0	0.1	0.8
C29LL	26970.6918	31661.0448	-9.2118	26970.6915	31661.0444	-9.2113	-0.3	-0.4	0.5	-0.4	0.2	0.5
C30LL	26972.6357	31661.4285	-9.1641	26972.6357	31661.4286	-9.1635	0.0	0.1	0.6	0.1	0.1	0.6
C31LL	26975.6787	31662.0447	-9.2124	26975.6785	31662.0445	-9.2116	-0.2	-0.2	0.8	-0.2	0.1	0.8
C32LL	26979.5397	31662.827	-9.1653	26979.5398	31662.8275	-9.1646	0.1	0.5	0.7	-0.5	0.2	0.7
C33LL	26982.3522	31663.3979	-9.2296	26982.3523	31663.3983	-9.2287	0.1	0.4	0.9	-0.4	0.2	0.9
C34LL	26985.2882	31663.9971	-8.5293	26985.2883	31663.9976	-8.5286	0.1	0.5	0.7	-0.5	0.2	0.7
C35LL	26988.3445	31664.6133	-8.5462	26988.3446	31664.6138	-8.5458	0.1	0.5	0.4	-0.5	0.2	0.4
C36LL	26990.374	31665.0258	-8.59	26990.3737	31665.0259	-8.5895	-0.3	0.1	0.5	0.0	0.3	0.5
C37LL	26993.5015	31665.6633	-8.4989	26993.5013	31665.6631	-8.4981	-0.2	-0.2	0.8	-0.3	0.2	0.8
C38LL	26998.0492	31666.307	-9.1492	26998.0493	31666.307	-9.1486	0.1	0.0	0.6	0.0	0.1	0.6
C39LL	27001.2669	31667.01	-9.1501	27001.2672	31667.01	-9.1502	0.3	0.0	-0.1	0.1	0.3	-0.1
C40LL	27003.251	31667.3334	-8.9178	27003.2511	31667.3335	-8.9169	0.1	0.1	0.9	-0.1	0.1	0.9
C41LL	27004.4901	31667.7739	-8.8426	27004.4903	31667.7738	-8.8424	0.2	-0.1	0.2	0.1	0.2	0.2
C05LU	26897.0018	31646.0475	-8.0829	26897.0019	31646.0475	-8.0828	0.1	0.0	0.1	0.0	0.1	0.1
C06LU	26902.9813	31647.4366	-7.5683	26902.9815	31647.4367	-7.5682	0.2	0.1	0.1	-0.1	0.2	0.1
C07LU	26904.6968	31647.7912	-7.5692	26904.6967	31647.7913	-7.569	-0.1	0.1	0.2	-0.1	-0.1	0.2
C08LU	26907.7281	31648.4054	-8.0033	26907.7282	31648.4056	-8.0029	0.1	0.2	0.4	-0.2	0.1	0.4
C09LU	26912.4131	31649.3448	-8.0038	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C10LU	26914.6248	31649.7863	-8.0383	26914.6251	31649.7864	-8.0383	0.3	0.1	0.0	0.0	0.3	0.0
C11LU	26917.7523	31650.415	-8.0697	26917.7525	31650.415	-8.0697	0.2	0.0	0.0	0.0	0.2	0.0
C12LU	26920.7785	31651.0232	-8.0267	26920.7785	31651.0232	-8.0262	0.0	0.0	0.5	0.0	0.0	0.5
C13LU	26923.729	31651.6062	-8.0127	26923.7291	31651.6065	-8.0127	0.1	0.3	0.0	-0.3	0.2	0.0
C14LU	26925.8993	31652.0502	-8.0278	26925.8994	31652.0504	-8.0279	0.1	0.2	-0.1	-0.2	0.1	-0.1
C15LU	26927.8606	31652.4484	-8.036	26927.8607	31652.4488	-8.0361	0.1	0.4	-0.1	-0.4	0.2	-0.1
C16LU	26931.6158	31653.2031	-8.0395	26931.6158	31653.2034	-8.0404	0.0	0.3	-0.9	-0.3	0.1	-0.9
C17LU	26934.6081	31653.799	-8.0665	26934.608	31653.7994	-8.0674	-0.1	0.4	-0.9	-0.4	0.0	-0.9
C18LU	26937.4902	31654.3794	-8.0858	26937.4902	31654.3794	-8.0859	0.0	0.0	-0.1	0.0	0.0	-0.1
C19LU	26940.4862	31654.978	-8.0822	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C20LU	26944.1823	31655.7204	-7.9941	26944.182	31655.7203	-7.9936	-0.3	-0.1	0.5	-0.2	0.2	0.5
C21LU	26947.2197	31656.3334	-8.0622	26947.2199	31656.3335	-8.0614	0.2	0.1	0.8	0.2	-0.1	0.8
C22LU	26950.1357	31656.9204	-8.071	26950.1356	31656.9208	-8.0703	-0.1	0.4	0.7	0.3	0.1	0.7
C23LU	26953.0809	31657.5132	-8.0545	26953.0809	31657.5132	-8.0547	0.0	0.0	-0.2	0.0	0.1	-0.2
C24LU	26956.0098	31658.0943	-8.0333	26956.0098	31658.0939	-8.0335	0.0	-0.4	-0.2	0.4	-0.1	-0.2
C25LU	26958.956	31658.6928	-8.078	26958.9562	31658.6925	-8.0771	0.2	-0.3	0.9	0.3	0.1	0.9
C26LU	26961.8214	31659.248	-8.0629	26961.8215	31659.2478	-8.0622	0.1	-0.2	0.7	0.2	0.1	0.7
C27LU	26964.779	31659.8459	-8.0614	26964.7791	31659.8462	-8.0613	0.1	0.3	0.1	-0.3	0.2	0.1
C28LU	26966.6974	31660.2393	-8.0478	26966.6973	31660.2389	-8.0477	-0.1	-0.4	0.1	-0.4	0.0	0.1
C29LU	26970.531	31661.0163	-8.0117	26970.5309	31661.0164	-8.0112	-0.1	0.1	0.5	0.1	0.2	0.5
C30LU	26972.7811	31661.4623	-8.0568	26972.7812	31661.4627	-8.0562	0.1	0.4	0.6	-0.4	0.2	0.6
C31LU	26975.6512	31662.0381	-8.0541	26975.6513	31662.0386	-8.0538	0.1	0.5	0.3	-0.5	0.2	0.3
C32LU	26979.6835	31662.8551	-8.0635	26979.6837	31662.8553	-8.0629	0.2	0.2	0.6	-0.2	0.2	0.6
C33LU	26982.4135	31663.4167	-8.065	26982.4133	31663.4166	-8.0642	-0.2	-0.1	0.8	-0.2	0.1	0.8
C34LU	26985.2902	31664.0001	-8.0298	26985.2902	31664.0006	-8.0292	0.0	0.5	0.6	-0.5	0.1	0.6
C35LU	26988.1324	31664.5728	-8.0996	26988.1326	31664.5729	-8.0992	0.2	0.1	0.4	-0.1	0.2	0.4
C36LU	26990.3487	31665.0222	-8.0513	26990.3487	31665.0226	-8.0508	0.0	0.4	0.5	-0.4	0.1	0.5
C37LU	26993.4902	31665.6628	-8.0569	26993.4903	31665.6631	-8.0564	0.1	0.3	0.5	-0.3	0.2	0.5
C38LU	26998.3592	31666.2867	-8.1796	26998.3589	31666.2864	-8.1789	-0.3	-0.3	0.7	-0.3	0.3	0.7
C39LU	27001.1498	31666.8302	-8.0129	27001.15	31666.8303	-8.0128	0.2	0.1	0.1	-0.1	0.2	0.1
C40LU	27002.7296	31667.5008	-7.952	27002.7297	31667.5009	-7.9516	0.1	0.1	0.4	-0.1	0.1	0.4
C41LU	27005.5045	31667.961	-8.0722	27005.5047	31667.9612	-8.0716	0.2	0.2	0.6	-0.2	0.2	0.6
